load,tempC,windspeedKmph,precipMM,humidity,load_1_hours_ago,load_2_hours_ago,load_3_hours_ago,load_4_hours_ago,load_5_hours_ago,load_6_hours_ago,month,day,hour,year,load_1_days_ago,load_2_days_ago,load_3_days_ago,load_4_days_ago,load_5_days_ago,load_6_days_ago,load_7_days_ago,load_1_weeks_ago,load_2_weeks_ago,load_3_weeks_ago,load_4_weeks_ago,hour_0_one_hot,hour_1_one_hot,hour_2_one_hot,hour_3_one_hot,hour_4_one_hot,hour_5_one_hot,hour_6_one_hot,hour_7_one_hot,hour_8_one_hot,hour_9_one_hot,hour_10_one_hot,hour_11_one_hot,hour_12_one_hot,hour_13_one_hot,hour_14_one_hot,hour_15_one_hot,hour_16_one_hot,hour_17_one_hot,hour_18_one_hot,hour_19_one_hot,hour_20_one_hot,hour_21_one_hot,hour_22_one_hot,hour_23_one_hot
9.11,23,18,0.3,85,11.27,12.42,13.65,15.29,16.1,15.73,1,29,0,2021,9.25,8.83,8.6,8.65,9.04,8.93,8.44,8.44,9.08,9.46,10.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.35,23,18,0.2,84,9.11,11.27,12.42,13.65,15.29,16.1,1,29,1,2021,8.77,8.09,7.7,7.81,8.29,7.9,7.61,7.61,8.13,8.48,9.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.07,23,17,0.3,83,8.35,9.11,11.27,12.42,13.65,15.29,1,29,2,2021,8.41,7.77,7.32,7.54,7.95,7.5,7.29,7.29,7.79,8.27,8.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.02,23,17,0,82,8.07,8.35,9.11,11.27,12.42,13.65,1,29,3,2021,8.33,7.74,7.28,7.48,7.73,7.38,7.09,7.09,7.58,8.17,8.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.07,23,17,0,81,8.02,8.07,8.35,9.11,11.27,12.42,1,29,4,2021,8.29,7.71,7.15,7.55,7.61,7.35,7.2,7.2,7.54,8.28,8.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.64,23,17,0,80,8.07,8.02,8.07,8.35,9.11,11.27,1,29,5,2021,9.03,8.38,7.39,8.3,7.81,7.62,7.82,7.82,8.14,8.72,7.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.7,24,17,0,79,8.64,8.07,8.02,8.07,8.35,9.11,1,29,6,2021,10.17,10.06,7.54,9.19,7.51,7.83,8.85,8.85,8.76,9.73,7.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.51,24,17,0.1,75,9.7,8.64,8.07,8.02,8.07,8.35,1,29,7,2021,10.72,10.3,6.89,10.09,8.45,8.31,9.42,9.42,9.14,12.21,7.59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.13,25,18,0.2,70,10.51,9.7,8.64,8.07,8.02,8.07,1,29,8,2021,9.31,8.1,6.19,10.92,8.1,7.34,8.21,8.21,8.86,13.51,7.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.66,25,19,0.5,66,11.13,10.51,9.7,8.64,8.07,8.02,1,29,9,2021,11.31,7.31,5.63,10.12,6.85,6.37,8.21,8.21,7.21,13.48,6.09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.95,26,19,0.2,67,8.66,11.13,10.51,9.7,8.64,8.07,1,29,10,2021,7.11,9.8,3.77,10.35,3.26,3.69,4.62,4.62,6.42,12.91,5.78,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11.28,26,19,0.5,68,8.95,8.66,11.13,10.51,9.7,8.64,1,29,11,2021,7.12,6.38,2.69,8.12,2.91,3.18,3.82,3.82,5.73,13.01,5.37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.74,26,20,0.5,69,11.28,8.95,8.66,11.13,10.51,9.7,1,29,12,2021,7.27,6.7,2.79,5.62,3.8,2.61,3.44,3.44,5.47,12.2,5.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.23,26,20,0.3,70,4.74,11.28,8.95,8.66,11.13,10.51,1,29,13,2021,8.17,7.46,2.98,5.34,7.07,3.04,3.65,3.65,5.97,11.84,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.75,26,20,0.3,70,5.23,4.74,11.28,8.95,8.66,11.13,1,29,14,2021,7.09,9.66,4.29,5.57,9.82,4.95,4.8,4.8,7.25,13.13,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9.3,25,21,0.2,71,8.75,5.23,4.74,11.28,8.95,8.66,1,29,15,2021,12.46,10.13,6.77,7.4,11.23,6.39,6.57,6.57,9.25,12.75,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12.01,25,19,0,76,9.3,8.75,5.23,4.74,11.28,8.95,1,29,16,2021,15,12.87,9.91,10.05,12.6,10.48,9.48,9.48,12.06,13.52,11.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13.46,24,18,0.2,80,12.01,9.3,8.75,5.23,4.74,11.28,1,29,17,2021,14.42,16.13,13.14,13.08,13.37,12.45,12.31,12.31,14.78,14.68,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.27,24,17,0.2,85,13.46,12.01,9.3,8.75,5.23,4.74,1,29,18,2021,15.73,17.84,15.18,14.94,14.83,13.81,14.27,14.27,16.33,15.18,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15.68,23,16,0,87,15.27,13.46,12.01,9.3,8.75,5.23,1,29,19,2021,16.1,18.56,16.37,16.23,15.15,15.02,15.27,15.27,16.96,14.94,16.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15.42,23,16,0,89,15.68,15.27,13.46,12.01,9.3,8.75,1,29,20,2021,15.29,17.41,15.63,15.16,14.07,14.33,14.77,14.77,16.69,14.31,16.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13.83,22,15,0,91,15.42,15.68,15.27,13.46,12.01,9.3,1,29,21,2021,13.65,14.87,13.63,13.26,12.86,13.19,13.19,13.19,14.94,12.69,14.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12.74,22,14,0,91,13.83,15.42,15.68,15.27,13.46,12.01,1,29,22,2021,12.42,13.01,12.2,12.28,12.08,12.4,12.61,12.61,13.71,11.98,13.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11.4,22,13,0,92,12.74,13.83,15.42,15.68,15.27,13.46,1,29,23,2021,11.27,11.8,11.08,11.11,10.9,11.36,11.51,11.51,12.21,11.13,12.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.28,22,12,0,92,11.4,12.74,13.83,15.42,15.68,15.27,1,30,0,2021,9.11,9.25,8.83,8.6,8.65,9.04,8.93,8.93,9.65,8.71,9.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,22,12,0,92,9.28,11.4,12.74,13.83,15.42,15.68,1,30,1,2021,8.35,8.77,8.09,7.7,7.81,8.29,7.9,7.9,8.81,7.65,8.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.38,22,12,0.1,92,8.5,9.28,11.4,12.74,13.83,15.42,1,30,2,2021,8.07,8.41,7.77,7.32,7.54,7.95,7.5,7.5,8.38,7.44,8.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.13,22,12,0.3,92,8.38,8.5,9.28,11.4,12.74,13.83,1,30,3,2021,8.02,8.33,7.74,7.28,7.48,7.73,7.38,7.38,8.11,7.19,7.95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.12,22,12,0.2,92,8.13,8.38,8.5,9.28,11.4,12.74,1,30,4,2021,8.07,8.29,7.71,7.15,7.55,7.61,7.35,7.35,7.95,7.21,7.98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.29,22,12,0.2,91,8.12,8.13,8.38,8.5,9.28,11.4,1,30,5,2021,8.64,9.03,8.38,7.39,8.3,7.81,7.62,7.62,8.24,7.41,8.09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.65,23,12,0,91,8.29,8.12,8.13,8.38,8.5,9.28,1,30,6,2021,9.7,10.17,10.06,7.54,9.19,7.51,7.83,7.83,8.38,8.63,8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.99,24,13,0,85,8.65,8.29,8.12,8.13,8.38,8.5,1,30,7,2021,10.51,10.72,10.3,6.89,10.09,8.45,8.31,8.31,9.61,9.97,7.53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
