load,tempC,windspeedKmph,precipMM,humidity,load_1h_ago,load_2h_ago,load_3h_ago,load_4h_ago,load_5h_ago,load_6h_ago,month,day,hour,year,load_1_days_ago,load_2_days_ago,load_3_days_ago,load_4_days_ago,load_5_days_ago,load_6_days_ago,load_7_days_ago,load_1_weeks_ago,load_2_weeks_ago,load_3_weeks_ago,load_4_weeks_ago,hour_0_one_hot,hour_1_one_hot,hour_2_one_hot,hour_3_one_hot,hour_4_one_hot,hour_5_one_hot,hour_6_one_hot,hour_7_one_hot,hour_8_one_hot,hour_9_one_hot,hour_10_one_hot,hour_11_one_hot,hour_12_one_hot,hour_13_one_hot,hour_14_one_hot,hour_15_one_hot,hour_16_one_hot,hour_17_one_hot,hour_18_one_hot,hour_19_one_hot,hour_20_one_hot,hour_21_one_hot,hour_22_one_hot,hour_23_one_hot
6.38,20,7,0.2,98,7.38,7.76,8.13,9.07,9.14,8.78,1,29,0,2021,5.51,5.32,5.12,4.41,5.51,6.34,6.24,6.24,6.45,6.66,4.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.98,20,7,0.0,97,6.38,7.38,7.76,8.13,9.07,9.14,1,29,1,2021,5.08,4.72,4.74,5.01,5.1,5.95,5.95,5.95,6.09,6.26,4.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.97,20,7,0.1,97,5.98,6.38,7.38,7.76,8.13,9.07,1,29,2,2021,4.93,4.56,4.45,4.56,4.87,5.7,5.65,5.65,5.88,6.06,4.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.93,20,7,0.1,97,5.97,5.98,6.38,7.38,7.76,8.13,1,29,3,2021,4.85,4.42,4.35,4.38,4.71,5.61,5.5,5.5,5.59,5.88,3.92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.01,20,7,0.0,96,5.93,5.97,5.98,6.38,7.38,7.76,1,29,4,2021,4.8,4.33,4.29,4.29,4.62,5.58,5.54,5.54,5.73,6.06,3.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.05,20,8,0.0,95,6.01,5.93,5.97,5.98,6.38,7.38,1,29,5,2021,5.01,4.53,4.32,4.44,4.55,5.59,5.69,5.69,5.85,6.24,3.71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.44,21,8,0.0,93,6.05,6.01,5.93,5.97,5.98,6.38,1,29,6,2021,5.59,4.88,4.2,4.82,4.53,5.86,5.88,5.88,6.09,6.75,3.46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.66,23,10,0.0,84,6.44,6.05,6.01,5.93,5.97,5.98,1,29,7,2021,6.33,5.15,3.41,4.95,3.6,4.93,5.49,5.49,5.9,7.29,2.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.89,24,12,0.3,75,6.66,6.44,6.05,6.01,5.93,5.97,1,29,8,2021,6.54,4.16,1.98,4.35,2.5,4.15,4.62,4.62,5.0,7.28,3.16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.98,25,14,0.2,65,6.89,6.66,6.44,6.05,6.01,5.93,1,29,9,2021,5.15,6.22,1.22,4.12,2.22,2.98,4.16,4.16,4.33,7.57,2.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.57,26,15,0.1,60,6.98,6.89,6.66,6.44,6.05,6.01,1,29,10,2021,4.26,5.81,1.24,3.53,2.64,3.1,3.97,3.97,4.63,7.12,0.56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6.41,27,15,0.3,56,5.57,6.98,6.89,6.66,6.44,6.05,1,29,11,2021,5.36,4.26,1.24,3.44,1.56,2.75,4.16,4.16,4.46,6.56,1.97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.45,27,16,0.2,51,6.41,5.57,6.98,6.89,6.66,6.44,1,29,12,2021,5.59,4.92,1.27,5.05,1.35,2.38,3.99,3.99,4.44,6.96,1.29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.76,27,17,0.2,53,5.45,6.41,5.57,6.98,6.89,6.66,1,29,13,2021,5.18,4.25,1.68,4.6,2.5,2.4,4.38,4.38,5.28,6.78,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4.86,27,17,0.1,55,5.76,5.45,6.41,5.57,6.98,6.89,1,29,14,2021,4.89,5.9,2.44,4.2,3.21,3.54,5.12,5.12,6.34,7.27,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5.93,27,17,0.0,58,4.86,5.76,5.45,6.41,5.57,6.98,1,29,15,2021,7.8,6.63,3.84,5.28,3.94,3.64,5.43,5.43,7.64,7.73,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7.79,27,16,0.0,66,5.93,4.86,5.76,5.45,6.41,5.57,1,29,16,2021,8.02,7.51,5.76,5.47,4.64,5.89,6.69,6.69,8.94,7.88,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8.6,26,14,0.2,75,7.79,5.93,4.86,5.76,5.45,6.41,1,29,17,2021,8.01,8.65,7.57,6.84,6.37,7.41,8.2,8.2,10.43,8.35,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9.13,25,12,0.2,83,8.6,7.79,5.93,4.86,5.76,5.45,1,29,18,2021,8.78,9.6,8.59,7.78,7.48,8.3,8.84,8.84,10.79,8.59,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9.53,25,11,0.0,88,9.13,8.6,7.79,5.93,4.86,5.76,1,29,19,2021,9.14,9.77,8.98,8.2,7.89,8.72,9.36,9.36,10.84,8.56,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9.34,24,9,0.0,93,9.53,9.13,8.6,7.79,5.93,4.86,1,29,20,2021,9.07,9.05,8.59,7.77,7.66,8.3,8.93,8.93,10.29,8.26,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.86,23,7,0.0,97,9.34,9.53,9.13,8.6,7.79,5.93,1,29,21,2021,8.13,8.18,7.59,7.08,6.93,7.52,8.33,8.33,9.65,7.78,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8.53,22,7,0.0,98,8.86,9.34,9.53,9.13,8.6,7.79,1,29,22,2021,7.76,7.49,7.12,6.88,6.71,7.28,8.04,8.04,9.15,7.58,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8.01,21,6,0.0,98,8.53,8.86,9.34,9.53,9.13,8.6,1,29,23,2021,7.38,6.83,6.49,6.3,4.82,6.92,7.55,7.55,8.61,7.54,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.62,21,6,0.0,98,8.01,8.53,8.86,9.34,9.53,9.13,1,30,0,2021,6.38,5.51,5.32,5.12,4.41,5.51,6.34,6.34,7.23,6.19,4.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.36,20,6,0.0,98,6.62,8.01,8.53,8.86,9.34,9.53,1,30,1,2021,5.98,5.08,4.72,4.74,5.01,5.1,5.95,5.95,6.74,5.79,4.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,20,6,0.0,99,6.36,6.62,8.01,8.53,8.86,9.34,1,30,2,2021,5.97,4.93,4.56,4.45,4.56,4.87,5.7,5.7,6.42,5.62,3.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
