load,tempC,precipMM,windspeedKmph,humidity,load_1_hours_ago,load_2_hours_ago,load_3_hours_ago,load_4_hours_ago,load_5_hours_ago,load_6_hours_ago,month,day,hour,year,load_1_days_ago,load_2_days_ago,load_3_days_ago,load_4_days_ago,load_5_days_ago,load_6_days_ago,load_7_days_ago,load_1_weeks_ago,load_2_weeks_ago,load_3_weeks_ago,load_4_weeks_ago,hour_0_one_hot,hour_1_one_hot,hour_2_one_hot,hour_3_one_hot,hour_4_one_hot,hour_5_one_hot,hour_6_one_hot,hour_7_one_hot,hour_8_one_hot,hour_9_one_hot,hour_10_one_hot,hour_11_one_hot,hour_12_one_hot,hour_13_one_hot,hour_14_one_hot,hour_15_one_hot,hour_16_one_hot,hour_17_one_hot,hour_18_one_hot,hour_19_one_hot,hour_20_one_hot,hour_21_one_hot,hour_22_one_hot,hour_23_one_hot
13.72,23,0.3,18,85,16.72,18.18,20.29,22.49,23.43,23.3,1,29,0,2021,14.39,13.9,13.68,13.79,14.62,14.01,13.14,13.14,14.83,16.27,18.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.92,23,0.2,18,84,13.72,16.72,18.18,20.29,22.49,23.43,1,29,1,2021,13.54,12.88,12.54,12.7,13.52,12.83,12.09,12.09,13.41,14.97,17.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.52,23,0.3,17,83,12.92,13.72,16.72,18.18,20.29,22.49,1,29,2,2021,13.19,12.48,12.05,12.24,12.96,12.29,11.78,11.78,12.97,14.4,15.68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.3,23,0,17,82,12.52,12.92,13.72,16.72,18.18,20.29,1,29,3,2021,12.94,12.21,11.75,11.89,12.47,11.96,11.46,11.46,12.45,14,14.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.41,23,0,17,81,12.3,12.52,12.92,13.72,16.72,18.18,1,29,4,2021,12.87,12.14,11.84,11.98,12.34,11.89,11.35,11.35,12.45,14.2,14.31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.89,23,0,17,80,12.41,12.3,12.52,12.92,13.72,16.72,1,29,5,2021,13.44,12.75,11.91,12.66,12.65,12.09,11.95,11.95,12.76,14.45,13.78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.84,24,0,17,79,12.89,12.41,12.3,12.52,12.92,13.72,1,29,6,2021,14.22,14.04,12.59,13.49,12.81,12.82,12.89,12.89,13.72,15.97,13.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.09,24,0.1,17,75,13.84,12.89,12.41,12.3,12.52,12.92,1,29,7,2021,16.32,15.54,13.44,17.08,15.3,14.7,14.46,14.46,15.43,18.77,15.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8,25,0.2,18,70,16.09,13.84,12.89,12.41,12.3,12.52,1,29,8,2021,17.05,16.63,14.65,19.37,16.86,15.97,15.98,15.98,18.19,22.41,17.18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.1,25,0.5,19,66,18.8,16.09,13.84,12.89,12.41,12.3,1,29,9,2021,18.82,17.79,15.53,20.02,16.17,17.38,17.56,17.56,19.09,25.2,18.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.34,26,0.2,19,67,20.1,18.8,16.09,13.84,12.89,12.41,1,29,10,2021,20.7,21.17,14.93,20.72,15.02,15.3,15.24,15.24,18.32,25.81,25.42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.15,26,0.5,19,68,16.34,20.1,18.8,16.09,13.84,12.89,1,29,11,2021,20.61,19.19,14.1,19.21,17.3,14.63,15.4,15.4,18.14,24.1,19.29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
