load,tempC,windspeedKmph,precipMM,humidity,load_1_hours_ago,load_2_hours_ago,load_3_hours_ago,load_4_hours_ago,load_5_hours_ago,load_6_hours_ago,month,day,hour,year,load_1_days_ago,load_2_days_ago,load_3_days_ago,load_4_days_ago,load_5_days_ago,load_6_days_ago,load_7_days_ago,load_1_weeks_ago,load_2_weeks_ago,load_3_weeks_ago,load_4_weeks_ago,hour_0_one_hot,hour_1_one_hot,hour_2_one_hot,hour_3_one_hot,hour_4_one_hot,hour_5_one_hot,hour_6_one_hot,hour_7_one_hot,hour_8_one_hot,hour_9_one_hot,hour_10_one_hot,hour_11_one_hot,hour_12_one_hot,hour_13_one_hot,hour_14_one_hot,hour_15_one_hot,hour_16_one_hot,hour_17_one_hot,hour_18_one_hot,hour_19_one_hot,hour_20_one_hot,hour_21_one_hot,hour_22_one_hot,hour_23_one_hot
9.35,23,18,0.3,85,12.71,12.87,13.46,14.86,16.53,16.59,1,29,0,2021,9.7,9.27,8.86,8.98,9.03,8.74,8.65,8.65,8.98,9.54,10.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.59,23,18,0.2,84,9.35,12.71,12.87,13.46,14.86,16.53,1,29,1,2021,8.94,8.36,7.92,8.07,8.11,7.93,7.82,7.82,8.19,8.81,9.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.24,23,17,0.3,83,8.59,9.35,12.71,12.87,13.46,14.86,1,29,2,2021,8.57,8.06,7.52,7.74,7.75,7.54,7.44,7.44,7.72,8.39,8.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.25,23,17,0,82,8.24,8.59,9.35,12.71,12.87,13.46,1,29,3,2021,8.51,8.03,7.41,7.66,7.47,7.65,7.36,7.36,7.7,8.48,8.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,23,17,0,81,8.25,8.24,8.59,9.35,12.71,12.87,1,29,4,2021,8.65,8.05,7.49,7.8,7.4,7.44,7.43,7.43,7.8,8.53,8.06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.9,23,17,0,80,8.3,8.25,8.24,8.59,9.35,12.71,1,29,5,2021,9.28,8.71,7.74,8.43,7.73,7.7,8.06,8.06,8.29,8.88,7.89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.22,24,17,0,79,8.9,8.3,8.25,8.24,8.59,9.35,1,29,6,2021,10.34,9.91,7.66,9.26,6.67,8.02,8.87,8.87,8.65,10.16,7.02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.8,24,17,0.1,75,10.22,8.9,8.3,8.25,8.24,8.59,1,29,7,2021,11.74,10.75,6.63,10.79,8.4,8.16,8.39,8.39,8.63,12.59,7.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.07,25,18,0.2,70,11.8,10.22,8.9,8.3,8.25,8.24,1,29,8,2021,10.3,9.73,5.66,11.93,8.22,7.13,7.7,7.7,8.87,14.3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.16,25,19,0.5,66,12.07,11.8,10.22,8.9,8.3,8.25,1,29,9,2021,11.09,11.52,5.28,12.06,7.31,8.19,8.48,8.48,8.03,13.37,5.97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
